model,model_display,fold,subgroup,n,AUC,F1,Sensitivity,Precision,MCC
gbdt,GBDT,5,TBI,28,0.9848484848484849,0.8,0.6666666666666666,1.0,0.7817359599705717
fttransformer,FT-Transformer,1,Overall,183,0.837492660011744,0.68,0.6538461538461539,0.7083333333333334,0.5608129427733896
fttransformer,FT-Transformer,1,Hemorrhage,81,0.7968253968253969,0.5853658536585366,0.5714285714285714,0.6,0.4452192050161611
fttransformer,FT-Transformer,1,Tumor,63,0.8049886621315193,0.7317073170731707,0.7142857142857143,0.75,0.6028035277130152
fttransformer,FT-Transformer,1,TBI,35,0.8286713286713288,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.4985808425294758
fttransformer,FT-Transformer,2,Overall,183,0.7740203193033381,0.5434782608695652,0.4716981132075472,0.6410256410256411,0.403185004916475
fttransformer,FT-Transformer,2,Hemorrhage,83,0.8628912071535022,0.6666666666666666,0.5909090909090909,0.7647058823529411,0.574534920721543
fttransformer,FT-Transformer,2,Tumor,59,0.6558265582655827,0.4666666666666667,0.3888888888888889,0.5833333333333334,0.30535040000928604
fttransformer,FT-Transformer,2,TBI,30,0.6990740740740741,0.4,0.3333333333333333,0.5,0.12309149097933272
fttransformer,FT-Transformer,3,Overall,183,0.8647314949201742,0.6511627906976745,0.7924528301886793,0.5526315789473685,0.4886921976143684
fttransformer,FT-Transformer,3,Hemorrhage,86,0.8736559139784946,0.6666666666666666,0.7916666666666666,0.5757575757575758,0.5219341591436605
fttransformer,FT-Transformer,3,Tumor,52,0.7777777777777778,0.5789473684210527,0.6875,0.5,0.3568120160740314
fttransformer,FT-Transformer,3,TBI,43,0.916256157635468,0.7027027027027027,0.9285714285714286,0.5652173913043478,0.548411323417953
fttransformer,FT-Transformer,4,Overall,183,0.7936139332365747,0.625,0.660377358490566,0.5932203389830508,0.4617027803721148
fttransformer,FT-Transformer,4,Hemorrhage,94,0.7591991341991342,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.44047619047619047
fttransformer,FT-Transformer,4,Tumor,53,0.7804054054054055,0.6451612903225806,0.625,0.6666666666666666,0.4992288980523316
fttransformer,FT-Transformer,4,TBI,32,0.8019323671497585,0.5454545454545454,0.6666666666666666,0.46153846153846156,0.3316863613133475
fttransformer,FT-Transformer,5,Overall,182,0.6655325443786982,0.1016949152542373,0.057692307692307696,0.42857142857142855,0.06324555320336758
fttransformer,FT-Transformer,5,Hemorrhage,87,0.684516129032258,0.07407407407407407,0.04,0.5,0.07207944173135365
fttransformer,FT-Transformer,5,Tumor,70,0.6979166666666667,0.1111111111111111,0.0625,0.5,0.11085550665221744
fttransformer,FT-Transformer,5,TBI,28,0.6363636363636364,0.0,0.0,0.0,0.0
light_amformer,Lightweight AMFormer,1,Overall,183,0.8785965942454491,0.7008547008547008,0.7884615384615384,0.6307692307692307,0.5703984453866213
light_amformer,Lightweight AMFormer,1,Hemorrhage,81,0.9023809523809524,0.723404255319149,0.8095238095238095,0.6538461538461539,0.6190813664307289
light_amformer,Lightweight AMFormer,1,Tumor,63,0.846938775510204,0.6956521739130435,0.7619047619047619,0.64,0.5276561879022921
light_amformer,Lightweight AMFormer,1,TBI,35,0.8111888111888113,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.45866432210600416
light_amformer,Lightweight AMFormer,2,Overall,183,0.9328011611030479,0.7966101694915254,0.8867924528301887,0.7230769230769231,0.7092602417629238
light_amformer,Lightweight AMFormer,2,Hemorrhage,83,0.9247391952309985,0.7450980392156863,0.8636363636363636,0.6551724137931034,0.6477291698006382
light_amformer,Lightweight AMFormer,2,Tumor,59,0.8726287262872628,0.7368421052631579,0.7777777777777778,0.7,0.614200880124052
light_amformer,Lightweight AMFormer,2,TBI,30,0.9490740740740741,0.88,0.9166666666666666,0.8461538461538461,0.79639080275258
light_amformer,Lightweight AMFormer,3,Overall,183,0.9074020319303339,0.7258064516129032,0.8490566037735849,0.6338028169014085,0.6041628239277322
light_amformer,Lightweight AMFormer,3,Hemorrhage,86,0.9294354838709677,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.6324757715822045
light_amformer,Lightweight AMFormer,3,Tumor,52,0.8177083333333334,0.5714285714285714,0.625,0.5263157894736842,0.35942537872389224
light_amformer,Lightweight AMFormer,3,TBI,43,0.916256157635468,0.8125,0.9285714285714286,0.7222222222222222,0.718239195824947
light_amformer,Lightweight AMFormer,4,Overall,183,0.8635703918722786,0.7333333333333333,0.8301886792452831,0.6567164179104478,0.6150819832518094
light_amformer,Lightweight AMFormer,4,Hemorrhage,94,0.8419913419913421,0.7333333333333333,0.7857142857142857,0.6875,0.6120766251056302
light_amformer,Lightweight AMFormer,4,Tumor,53,0.8834459459459459,0.7777777777777778,0.875,0.7,0.6751179106527935
light_amformer,Lightweight AMFormer,4,TBI,32,0.7874396135265701,0.6086956521739131,0.7777777777777778,0.5,0.4290823322857326
